"Category","Minimum Width of Stairs (mm)","Minimum Height Clearance (meters)","Maximum Riser (mm)","Minimum Tread (mm)"
"1. Internal stairs serving only one upper floor.","750","2.1","175","250"
"2. Stairs in buildings, used as place of Public  Building  and  Condominium Buildings and all other categories.","1050","2.1","150","300"
