Serial No.,Usage,Category,Specifications,,,Parking Space Requirements,,,
,,,Minimum Road width (m),Floor area (m²),Minimum land extent (m²),Standard Vehicle,Bus,Lorry,Multi Axle
,Industries,Large Scale,9,Above 1500,2000,9 space up to 1500m² & 1 space for every additional 300m²,-,3 space up to 1500m² & 1 space for every additional 1000m²,1 space for 2500m² & maximum 5 space
,Industries stores,Stores with shops,9,-,-,1 space up to 100m² & 1 space for every additional 200m²,-,1 space up to 500m² ,-
,Industries stores,Stores without shops,9,,,1 space up to 500m² ,-,1 space up to 300m² ,-
,Industries Godowns,Godowns,9,-,1000,1 space up to 500m² ,-,1 space for 500m² up to 3000m² & 1 space for every additional 1000m²,1 space for 2500m² & maximum 3
