"Platform size (min)","5.4m long x 2.4m wide"
"Clear width at entry/exit","2.4m (no obstruction) 2.7m (obstruction on one side) 3.0m (obstruction on both side)"
"Headroom clearance","2.2m clear"
"Queuing space","15%   or 2 vehicles whichever is higher"
"","Should have independent movability and dependent stackers are not allowed"
