"Storage (m3)","Storage (m3)","Storage (m3)","Storage (m3)","Ground Water Infiltration (m3)","Ground Water Infiltration (m3)","Ground Water Infiltration (m3)","Ground Water Infiltration (m3)","Ground Water Infiltration (m3)","Ground Water Infiltration (m3)","Total (m3)"
"Above Ground","On Ground","Below Ground","Others","Waste water Pit","Unpaved Ground","Unlined Pond","Dug Well","Bore hole","Other",""

