Serial No.,Usage,Category,Specifications,,,Parking Space Requirements,,,
,,,Minimum Road width (m),Floor area (m²),Minimum land extent (m²),Standard Vehicle,Bus,Lorry,Multi Axle
,Education,Libraries,6,-,500,3 Space,-,-,-
,,,9,-,More than 500,3 space up to 500m² & 1 space for every additional 500m²,,,
,Education,Other educational institutions,9,-,-,1 space per class room ,-,-,-
,Education,Medium Scale,9,up to 1500,1000,3 space up to 250m² & 1 for every additional 200m².,-,1 space for 500m²,1 space for exceed 1000m²
