"Description","Maximum Land Extent(m2)","Minimum Road Width (m)","Maximum Street Length(m)","Maximum floor area (m2)"
"Where the street serves more than one lot or site but not more than four lots","250","6.0","50","500"
"Where the street serves only one lot or site","750","6.0","100","1250"
