Serial No.,Usage,Category,Specifications,,,Parking Space Requirements,,,
,,,Minimum Road width (m),Floor area (m²),Minimum land extent (m²),Standard Vehicle,Bus,Lorry,Multi Axle
,,,,,,Rooms from 101 Room,,,
,Commercial Hotel,Banquet Hall,6,Up to 100 seats,-,One Space  for 5 seats,-,1 Space ,-
,,,9,More than 100 seats,,One Space  for 5 seats,,1 Space ,
,Commercial Hotel,Boutique hotel/Villas,9,Up to 5 Rooms / or Units,-,"One Space  for one room/unit, maximum 3 spaces",1 space (touch & go) close to service area,-,-
,Commercial Hotel,Boutique hotel/Villas/ Guest House/ Lodges / Rest Houses / Spa,9,Above 5 Rooms / or Units,-,One Space  for one room/unit,-,-,-
