"Parking angle (degrees)","Bay on one side (m)","","Two-way traffic (m)"
"","Bay on one side (m)","Bay on two side (m)",""
"Parallel","3.6","3.6","6.0"
"30 Deg. Angle","3.6","4.2","6.0"
"45 Deg. Angle","4.2","4.8","6.0"
"60 Deg. Angel","4.8","4.8","6.0"
"90 Deg. Angel","6.0","6.0","6.0"
